"Application Vendor","Website","Payment Application","Version Number","Application Type","Target Market","Reference Number","Validated According To","Deployment Notes","Revalidate Date","Expiry Date","Validated by PA-QSA","Description"
"NCR Corporation","www.ncr.com","NCR Counterpoint","8.5.2","POS Suite/General","Retail","16-01.00115.094","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","28 Oct 2017","28 Oct 2022","Coalfire Systems, Inc","NCR Counterpoint is a point-of-sale (POS), inventory, and customer management system suitable for businesses of all sizes that need to manage, consolidate, and distribute information across multiple locations. The application includes features that are designed to meet the specific needs of wholesale and online businesses. NCR Counterpoint is installed and supported by dealers, although some direct support is available to certain customers. It has a single tier architecture that follows a client/server model."
"NCR Corporation","www.ncr.com","NCR Counterpoint","8.5.x","POS Suite/General","Retail","16-01.00115.094.aaa","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","18 Jan 2018","28 Oct 2022","Coalfire Systems, Inc","NCR Counterpoint is a point-of-sale (POS), inventory, and customer management system suitable for businesses of all sizes that need to manage, consolidate, and distribute information across multiple locations. The application includes features that are designed to meet the specific needs of wholesale and online businesses. NCR Counterpoint is installed and supported by dealers, although some direct support is available to certain customers. It has a single tier architecture that follows a client/server model."
"NCR Corporation","www.ncr.com","NCR Counterpoint","8.5.2","POS Suite/General","Retail","16-01.00115.094.baa","PA-DSS v3.2","Acceptable for New Deployments","3 Aug 2018","28 Oct 2022","Coalfire Systems, Inc","NCR Counterpoint is a point-of-sale (POS), inventory, and customer management system suitable for businesses of all sizes that need to manage, consolidate, and distribute information across multiple locations. The application includes features that are designed to meet the specific needs of wholesale and online businesses. NCR Counterpoint is installed and supported by dealers, although some direct support is available to certain customers. It has a single tier architecture that follows a client/server model."
"NCR Corporation","www.ncr.com","NCR Counterpoint","8.5.3","POS Suite/General","Retail","16-01.00115.094.daa","PA-DSS v3.2","Acceptable for New Deployments","11 Dec 2018","28 Oct 2022","Coalfire Systems, Inc","NCR Counterpoint is a point-of-sale (POS), inventory, and customer management system suitable for businesses of all sizes that need to manage, consolidate, and distribute information across multiple locations. The application includes features that are designed to meet the specific needs of wholesale and online businesses. NCR Counterpoint is installed and supported by dealers, although some direct support is available to certain customers. It has a single tier architecture that follows a client/server model."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.0.0","POS Suite/General","Point of Sale system for multi-site businesses such as café's and bakeries, etc.","12-02.00348.006","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","9 Jul 2013","28 Oct 2016","Coalfire Systems, Inc","Quest Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest/Radiant POS terminals, handheld (walkabout) devices (*Category II mobile devices that are purpose built for Radiant Quest) and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. All credit card information is passed to ProtoBase which is then responsible for all communication to the credit processor for authorization and settlement.  Quest Enterprise Manager also has a web component for reporting and management tasks for several instances or clusters of the payment application."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.0.1","POS Suite/General","Point of Sale system for multi-site businesses such as café's and bakeries, etc.","12-02.00348.006.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","26 Nov 2013","28 Oct 2016","Coalfire Systems, Inc","Quest Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest/Radiant POS terminals, handheld (walkabout) devices (*Category II mobile devices that are purpose built for Radiant Quest) and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. All credit card information is passed to ProtoBase which is then responsible for all communication to the credit processor for authorization and settlement.  Quest Enterprise Manager also has a web component for reporting and management tasks for several instances or clusters of the payment application."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.0.1 Build 4","POS Suite/General","Point of Sale system for multi-site businesses such as café's and bakeries, etc.","12-02.00348.006.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","10 Mar 2016","28 Oct 2016","Coalfire Systems, Inc","Quest Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest/Radiant POS terminals, handheld (walkabout) devices (*Category II mobile devices that are purpose built for Radiant Quest) and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. All credit card information is passed to ProtoBase which is then responsible for all communication to the credit processor for authorization and settlement.  Quest Enterprise Manager also has a web component for reporting and management tasks for several instances or clusters of the payment application."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.10","POS Suite/General","Hospitality Venues requiring multiple levels of POS functionality","14-02.00115.073","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","2 Feb 2016","28 Oct 2016","Coalfire Systems, Inc","NCR Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is NCR Enterprise Manager. Removing specific modules, such as Suites, they can deploy as Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor. Note: This application has been validated for optional use with only the following tablets Handheld (Walkabout), QS710A, QM710A, vendor modified Android Tablets (NCR TouchPOS) and T1000 (NCR TouchPOS) - that have been constrained by NCR Corporation with the single function of payment and are only to be distributed as bundled with the application by NCR Corporation. Use of any other tablet or mobile-like devices has not been validated for PA-DSS at this time, and such use should be discussed with the acquirer to determine any impact to compliance."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.18","POS Suite/General","Hospitality Venues requiring multiple levels of POS functionality","14-02.00115.073.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","NCR Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is NCR Enterprise Manager. Removing specific modules, such as Suites, they can deploy as Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor. Note: This application has been validated for optional use with only the following tablets Handheld (Walkabout), QS710A, QM710A, vendor modified Android Tablets (NCR TouchPOS) and T1000 (NCR TouchPOS) - that have been constrained by NCR Corporation with the single function of payment and are only to be distributed as bundled with the application by NCR Corporation. Use of any other tablet or mobile-like devices has not been validated for PA-DSS at this time, and such use should be discussed with the acquirer to determine any impact to compliance."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.29.x","POS Suite/General","Hospitality venues","16-01.00115.090","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","25 Aug 2017","28 Oct 2019","Coalfire Systems, Inc","NCR Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is NCR Enterprise Manager. Removing specific modules, such as Suites, they can deploy as Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor."
"NCR Corporation","www.ncr.com","NCR Enterprise Manager","2.30.x","POS Suite/General","Hospitality venues","16-01.00115.090.aaa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","15 Mar 2018","28 Oct 2019","Coalfire Systems, Inc","NCR Enterprise Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is NCR Enterprise Manager. Removing specific modules, such as Suites, they can deploy as Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor."
"NCR Corporation","www.ncr.com","NCR EPS","2.5.000","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","15 Jan 2017","28 Oct 2019","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.5.001.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.aaa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","30 Aug 2017","28 Oct 2019","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.6.000.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.baa","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","21 Nov 2017","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.7.000.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.caa","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","27 Mar 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.7.001.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.daa","PA-DSS v3.2","Acceptable for New Deployments","19 Apr 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.6.001.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.haa","PA-DSS v3.2","Acceptable for New Deployments","2 Oct 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.7.002.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.eaa","PA-DSS v3.2","Acceptable for New Deployments","12 May 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.8.000.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.faa","PA-DSS v3.2","Acceptable for New Deployments","17 Aug 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.7.003.*","Payment Middleware","Retail, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.gaa","PA-DSS v3.2","Acceptable for New Deployments","14 Sep 2018","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.9.000.*","Payment Middleware","Retail, Gas/Oil, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","15-02.00115.080.iaa","PA-DSS v3.2","Acceptable for New Deployments","25 Jan 2019","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR EPS","2.8.001.*","Payment Middleware","Retail, Gas/Oil, Small/medium merchants, Cinemas &amp; Quick Service Restaurants","5-02.00115.080.jaa","PA-DSS v3.2","Acceptable for New Deployments","7 Feb 2019","28 Oct 2022","Coalfire Systems, Inc","NCR EPS (Payment Middleware)  The NCR EPS payment application drives the process of collecting necessary input for tender processing, and interfaces with various payment processors to obtain electronic payment approval/decline"
"NCR Corporation","www.ncr.com","NCR Fuel Connect","0.08","Payment Middleware","Retail Grocery and Convenience Stores with Fuel Centers","14-02.00115.069","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","17 Sep 2015","28 Oct 2016","Coalfire Systems, Inc","NCR RPOS FuelConnect provides a retail transaction platform for customers providing integration with third-party POS. RPOS FuelConnect features: One-touch fuel authorization; integrated credit, debit, fleet and branded stored-value card processing."
"NCR Corporation","www.ncr.com","NCR Fuel Connect","1.0","Payment Middleware","Retail Grocery and Convenience Stores with Fuel Centers","14-02.00115.072","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","22 Jan 2016","28 Oct 2016","Coalfire Systems, Inc","NCR Fuel Connect provides a retail transaction platform for customers providing integration with third-party POS. RPOS Fuel Connect features: One-touch fuel authorization; integrated credit, debit, fleet and branded stored-value card processing."
"NCR Corporation","www.ncr.com","NCR Fuel Connect","1.1","Payment Middleware","Retail Grocery and Convenience Stores with Fuel Centers","14-02.00115.072.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","NCR Fuel Connect provides a retail transaction platform for customers providing integration with third-party POS. RPOS Fuel Connect features: One-touch fuel authorization; integrated credit, debit, fleet and branded stored-value card processing."
"NCR Corporation","www.ncr.com","NCR Fuel Connect","1.2","Payment Middleware","Retail Grocery and Convenience Stores with Fuel Centers","14-02.00115.072.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","NCR Fuel Connect provides a retail transaction platform for customers providing integration with third-party POS. RPOS Fuel Connect features: One-touch fuel authorization; integrated credit, debit, fleet and branded stored-value card processing."
"NCR Corporation","www.ncr.com","NCR General POS","2.2","POS Suite/General","Restaurants, primarily Quick Service including cafeterias, snack bars. GenPOS is also used by retail merchants as well.","12-01.00348.008","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","28 Oct 2013","28 Oct 2013","Coalfire Systems, Inc","The NCR General POS (NCR GenPOS) is deployed in restaurants and general retail environments. GenPOS can be implemented as a single POS, or up to a maximum of 16 POS terminals. The typical configuration consists of 4 POS terminals. Standard POS functions exist at each POS terminal, including credit card processing using one of the supported credit card processing APIs."
"NCR Corporation","www.ncr.com","NCR Healthcare CVM","5.0.1.62","Payment Middleware","Healthcare","11-02.00348.005","PA-DSS v1.2.1","Acceptable only for Pre-Existing Deployments","24 Oct 2012","28 Oct 2013","ControlCase, LLC","NCR Healthcare CVM 5.0 is a web based application built with a robust platform to enable a host of NCR Healthcare Solutions such as Medikiosk, Payment Manager, Patient Portal, eForms, Scheduler etc."
"NCR Corporation","www.ncr.com","NCR Payment Suite","4.1.2.X","Payment Gateway/ Switch","Processors","15-03.00115.081","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","26 Feb 2017","28 Oct 2019","Foregenix Ltd.","NCR Payment Suite v4.1.2.X can accept, authorise and authenticate any type of transaction from any device, channel or system and monitor all activity to detect and prevent fraud. The application's intelligent transaction handling and fraud prevention suite serves online payment service providers, ecommerce and bricks-and-mortar merchants, banks, issuers, processors, merchant acquirers, ISOs and payment networks globally. The suite consists of two modules, Authentic (4.1.04) and Fractals (4.2.00). Authentic handles a wide variety of interfaces to national and international payment networks, POS devices, ATMs, and internet channels. Fractals can tackle any type of transactional fraud problem including cross product, cross channel, enterprise fraud detection and prevention, through a combination of self-learning strategies and user defined rules."
"NCR Corporation","www.ncr.com","NCR RPOS QSR","7.4","POS Suite/General","Quick Service Restaurants and Major Fast Food Chains","14-01.00115.063","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","NCR RPOS QSR is a Windows based POS suite utilized by quick service restaurants to operate their business."
"NCR Corporation","www.ncr.com","NCR RPOS QSR","7.16.0.X","POS Suite/General","Retail, Convenience Stores","15-01.00115.083","PA-DSS v3.1","Acceptable for New Deployments","10 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","NCR RPOS QSR is a Windows based POS suite utilized by quick service restaurants to operate their business."
"NCR Corporation","www.ncr.com","NCR RPOS QSR","7.17.0.X","POS Suite/General","Quick Service Restaurants","16-01.00115.097","PA-DSS v3.2","Acceptable for New Deployments","10 Jul 2018","28 Oct 2022","Coalfire Systems, Inc","NCR RPOS QSR is a Windows based POS suite utilized by quick service restaurants to operate their business."
"NCR Corporation","www.ncr.com","NCR RPOS","6.12","POS Suite/General","Convenience Stores &amp; Retail","13-01.00115.052","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","23 Apr 2015","28 Oct 2016","Coalfire Systems, Inc","The NCR Radiant Point-of-Sale (RPOS) serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by Radiant's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by the Radiant Point-Of-Sale (RPOS) to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.12.1117","POS Suite/General","Convenience Stores &amp; Retail","13-01.00115.052.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","The NCR Radiant Point-of-Sale (RPOS) serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by Radiant's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by the Radiant Point-Of-Sale (RPOS) to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.12.1491","POS Suite/General","Convenience Stores &amp; Retail","13-01.00115.052.baa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","The NCR Radiant Point-of-Sale (RPOS) serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by Radiant's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by the Radiant Point-Of-Sale (RPOS) to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c1*","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086","PA-DSS v3.1","Acceptable for New Deployments","4 Aug 2018","28 Oct 2019","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c2*","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.aaa","PA-DSS v3.1","Acceptable for New Deployments","17 Nov 2018","28 Oct 2019","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c3*","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.baa","PA-DSS v3.2","Acceptable only for Pre-Existing Deployments","2 Feb 2018","28 Oct 2022","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c4 *","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.daa","PA-DSS v3.2","Acceptable for New Deployments","6 Apr 2018","28 Oct 2022","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c5 *","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.faa","PA-DSS v3.2","Acceptable for New Deployments","17 Jul 2018","28 Oct 2022","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c1.3*","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.caa","PA-DSS v3.1","Acceptable only for Pre-Existing Deployments","8 Feb 2018","28 Oct 2019","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c5.3*","POS Suite/General","Retail grocery and convenience stores with fuel centers","16-01.00115.086.gaa","PA-DSS v3.2","Acceptable for New Deployments","6 Nov 2018","28 Oct 2022","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR RPOS","6.19c6*","POS Suite/General","Retail, Gas/Oil, Small/medium merchants","16-01.00115.086.haa","PA-DSS v3.2","Acceptable for New Deployments","4 Jan 2019","28 Oct 2022","Coalfire Systems, Inc","The NCR RPOS serves as the retail transaction platform for customers providing integration of all store profit centers from fuel to food-service, featuring: One-touch Fueling Authorization Conversational ordering for food-service Integrated credit, debit, fleet, and branded stored value card processing All payment card transactions are handled by NCR's Electronic Payment Application (Epsilon) which is an isolated and separately validated, secure product used by RPOS to manage interaction with Payment Processors."
"NCR Corporation","www.ncr.com","NCR Service Point","7.16.0.X","POS Suite/General","Quick service restaurants and major fast food chains","15-01.00115.084","PA-DSS v3.1","Acceptable for New Deployments","10 Mar 2019","28 Oct 2019","Coalfire Systems, Inc","The ServicePoint 7.16 payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint payment application is a client/server application that runs on a POS in conjunction with the ServicePoint Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR ServicePoint","7.13","POS Suite/General","Quick service restaurants and major fast food chains","12-01.00115.050","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","20 Feb 2014","28 Oct 2016","Coalfire Systems, Inc","The ServicePoint 7.13 payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint 7.13 payment application is a client/server application that runs on a POS in conjunction with the ServicePoint 7.13 Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR ServicePoint","7.14","POS Suite/General","Quick service restaurants and major fast food chains","13-01.00115.059","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","5 Dec 2015","28 Oct 2016","Coalfire Systems, Inc","The ServicePoint 7.14 payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint 7.14 payment application is a client/server application that runs on a POS in conjunction with the ServicePoint 7.14 Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR ServicePoint","7.15","POS Suite/General","Quick service restaurants and major fast food chains","14-01.00115.071","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","28 Oct 2016","28 Oct 2016","Coalfire Systems, Inc","The ServicePoint 7.15 payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint payment application is a client/server application that runs on a POS in conjunction with the ServicePoint Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR ServicePoint","7.17.0.x","POS Suite/General","Quick service restaurants and major fast food chains","16-01.00115.096","PA-DSS v3.2","Acceptable for New Deployments","21 Feb 2019","28 Oct 2022","Coalfire Systems, Inc","The ServicePoint 7.17.0.X payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint payment application is a client/server application that runs on a POS in conjunction with the ServicePoint Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR ServicePoint","7.18.0.x","POS Suite/General","Quick service restaurants and major fast food chains","18-01.00115.114","PA-DSS v3.2","Acceptable for New Deployments","1 Mar 2019","28 Oct 2022","Coalfire Systems, Inc","The ServicePoint 7.18.0.X payment application is a Windows based POS suite utilized by quick service restaurants to operate their business. The ServicePoint payment application is a client/server application that runs on a POS in conjunction with the ServicePoint Site Controller (Server)."
"NCR Corporation","www.ncr.com","NCR Venue Manager","2.0.0","POS Suite/General","Hospitality Venues requiring multiple levels of POS functionality","12-01.00115.045","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","10 Apr 2013","28 Oct 2016","Coalfire Systems, Inc","Quest Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is Quest Venue Manager (QVM). Removing specific modules, such as Suites, they can deploy as Quest Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor."
"NCR Corporation","www.ncr.com","NCR Venue Manager","2.0.1","POS Suite/General","Hospitality Venues requiring multiple levels of POS functionality","12-01.00115.045.aaa","PA-DSS v2.0","Acceptable only for Pre-Existing Deployments","27 Nov 2013","28 Oct 2016","Coalfire Systems, Inc","Quest Manager is a back office solution that supports multiple types of POS devices including Quest POS terminals, handheld (walkabout) devices and a Quest POS suite terminal. The most common implementation is 3-4 servers on a local private network with a POS server, COM server, DB server and sometimes a Manager workstation. For smaller customers it can be installed all on a single server. It is a modular application; the full implementation is Quest Venue Manager (QVM). Removing specific modules, such as Suites, they can deploy as Quest Hospitality Manager for customers that don't require certain functions. One module passes all credit card information to Protobase which is then responsible for all communication to the credit processor."
